step,phase,duration,hold,score_NS,score_EW,N,S,E,W
0,ALL_RED,15,5,0.0,0.0,0,0,0,0
5,EW,15,15,1.0,2.0,1,0,0,1
20,NS,30,30,5.0,1.0,3,1,0,1
50,NS,15,15,4.0,4.0,4,0,1,1
65,NS,30,30,5.0,4.0,5,0,1,1
95,NS,15,15,4.0,4.0,4,0,1,1
110,EW,15,15,3.0,4.0,3,0,1,1
125,NS,30,30,9.0,0.0,6,0,0,0
155,NS,15,15,4.0,4.0,4,0,1,1
170,NS,15,15,4.0,4.0,4,0,1,1
185,NS,30,30,5.0,4.0,5,0,1,1
215,NS,15,15,4.0,4.0,4,0,1,1
230,NS,15,15,4.0,4.0,4,0,1,1
245,NS,30,30,5.0,4.0,5,0,1,1
275,NS,15,15,4.0,4.0,4,0,1,1
290,NS,15,15,4.0,4.0,4,0,1,1
305,EW,15,15,3.0,4.0,3,0,1,1
320,NS,30,30,6.0,1.0,3,0,1,0
350,EW,15,15,0.0,4.0,0,0,1,1
365,ALL_RED,15,5,0.0,0.0,0,0,0,0
370,EW,15,15,0.0,2.0,0,0,0,1
385,EW,15,15,0.0,1.0,0,0,0,1
400,EW,15,15,0.0,1.0,0,0,0,1
