window,start_second,end_second,N_mean_count,N_max_count,N_mean_score,N_max_score,S_mean_count,S_max_count,S_mean_score,S_max_score,E_mean_count,E_max_count,E_mean_score,E_max_score,W_mean_count,W_max_count,W_mean_score,W_max_score,pedestrians_max,emergency
0,0.0,30.0,7.1,8,7.467,9.0,0.633,2,0.633,2.0,1.7,2,2.4,3.0,5.067,6,5.767,7.0,12,0
1,30.0,60.0,8.433,10,9.1,10.0,0.967,2,0.967,2.0,1.967,3,2.767,4.0,6.567,7,8.533,9.0,12,0
2,60.0,90.0,9.133,11,10.267,12.0,0,0,0.0,0.0,2.6,3,3.4,4.0,5.767,7,7.333,9.0,10,0
3,90.0,120.0,7.167,9,7.267,10.0,0.733,2,0.733,2.0,2.067,3,2.867,4.0,5.933,6,7.9,8.0,8,0
4,120.0,150.0,7.067,8,7.4,9.0,0.467,1,0.467,1.0,2.233,3,3.033,4.0,5.867,6,7.867,8.0,9,0
5,150.0,180.0,8.467,12,8.833,14.0,0.3,1,0.3,1.0,2.3,3,3.1,4.0,5.833,6,7.233,8.0,7,0
6,180.0,210.0,10.267,12,11.033,14.0,0.6,1,0.6,1.0,1.8,2,2.6,3.0,6.1,7,7.767,9.0,9,0
7,210.0,240.0,9.6,12,10.233,13.0,0.433,1,0.433,1.0,1.8,2,2.6,3.0,5.667,6,7.533,8.0,8,0
8,240.0,270.0,6.267,10,6.333,11.0,0.567,1,0.567,1.0,2.1,3,2.9,4.0,5.6,6,7.2,8.0,10,0
9,270.0,300.0,8.733,10,9.733,11.0,0.733,2,0.733,2.0,2.567,3,3.367,4.0,5.7,7,7.267,9.0,6,0
